county,date,time,type,mag,dth,inj,prd,crd
BRONX (ZONE),08/28/2011,    08:45,Storm Surge/tide,,1,0,0.00K,0.00K
NEW YORK CO.,08/28/2011,    09:10,Flood,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),09/28/2011,    11:15,Coastal Flood,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),10/29/2011,    10:00,Winter Storm,,0,0,0.00K,0.00K
BRONX (ZONE),10/29/2011,    10:00,Winter Storm,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),10/29/2011,    10:00,Winter Storm,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),10/29/2011,    10:00,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),10/29/2011,    10:00,Winter Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),10/29/2011,    10:00,Winter Storm,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),06/04/2012,    20:42,Coastal Flood,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),06/04/2012,    22:54,Coastal Flood,,0,0,0.00K,0.00K
RICHMOND CO.,06/06/2012,    19:00,Hail,1.00  in.,0,0,0.00K,0.00K
RICHMOND CO.,06/06/2012,    19:50,Flash Flood,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),06/20/2012,    10:00,Excessive Heat,,1,0,0.00K,0.00K
RICHMOND CO.,06/22/2012,    13:15,Thunderstorm Wind,50  kts. MG,0,0,0.00K,0.00K
RICHMOND CO.,06/22/2012,    13:30,Flash Flood,,0,0,0.00K,0.00K
RICHMOND CO.,06/22/2012,    13:50,Flash Flood,,0,0,0.00K,0.00K
RICHMOND CO.,06/25/2012,    07:43,Lightning,,0,0,50.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),07/18/2012,    12:00,Excessive Heat,,0,0,0.00K,0.00K
BRONX (ZONE),07/18/2012,    12:00,Excessive Heat,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),07/18/2012,    12:00,Excessive Heat,,0,0,0.00K,0.00K
NEW YORK CO.,07/18/2012,    15:10,Hail,0.88  in.,0,0,0.00K,0.00K
NEW YORK CO.,07/18/2012,    15:25,Hail,1.00  in.,0,0,0.00K,0.00K
QUEENS CO.,07/18/2012,    15:50,Hail,1.00  in.,0,0,0.00K,0.00K
NEW YORK CO.,07/18/2012,    15:53,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,07/18/2012,    16:20,Flash Flood,,0,0,0.00K,0.00K
RICHMOND CO.,07/26/2012,    18:45,Thunderstorm Wind,52  kts. EG,0,0,1.00K,0.00K
KINGS CO.,07/26/2012,    19:14,Lightning,,0,0,5.00K,0.00K
QUEENS CO.,08/01/2012,    11:25,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/01/2012,    11:35,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/05/2012,    18:57,Thunderstorm Wind,52  kts. EG,0,0,2.00K,0.00K
QUEENS CO.,08/15/2012,    12:29,Thunderstorm Wind,56  kts. EG,0,0,2.00K,0.00K
QUEENS CO.,08/15/2012,    12:52,Thunderstorm Wind,52  kts. EG,0,0,1.00K,0.00K
QUEENS CO.,08/15/2012,    13:05,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/15/2012,    13:30,Flash Flood,,0,0,0.00K,0.00K
QUEENS CO.,08/15/2012,    14:50,Hail,1.50  in.,0,0,0.00K,0.00K
QUEENS CO.,08/15/2012,    14:58,Hail,1.00  in.,0,0,0.00K,0.00K
QUEENS CO.,08/15/2012,    15:05,Hail,0.88  in.,0,0,0.00K,0.00K
KINGS CO.,08/15/2012,    15:05,Thunderstorm Wind,52  kts. EG,0,0,1.00K,0.00K
QUEENS CO.,08/15/2012,    15:30,Flash Flood,,0,0,0.00K,0.00K
KINGS CO.,09/08/2012,    09:38,Thunderstorm Wind,61  kts. EG,0,0,7.50K,0.00K
QUEENS CO.,09/08/2012,    09:58,Tornado,EF0,0,0,20.00K,0.00K
KINGS CO.,09/08/2012,    10:01,Tornado,EF1,0,0,250.00K,0.00K
QUEENS CO.,09/08/2012,    10:30,Flash Flood,,0,0,0.00K,0.00K
RICHMOND CO.,09/08/2012,    17:00,Thunderstorm Wind,52  kts. EG,0,0,5.00K,0.00K
NEW YORK CO.,09/08/2012,    17:00,Thunderstorm Wind,52  kts. EG,0,0,1.50K,0.00K
BRONX CO.,09/08/2012,    17:00,Thunderstorm Wind,61  kts. EG,0,0,12.50K,0.00K
QUEENS CO.,09/08/2012,    17:05,Thunderstorm Wind,61  kts. EG,0,0,50.00K,0.00K
KINGS CO.,09/08/2012,    17:05,Thunderstorm Wind,61  kts. EG,0,0,25.00K,0.00K
QUEENS CO.,09/18/2012,    19:00,Thunderstorm Wind,70  kts. EG,0,0,6.00K,0.00K
SOUTHERN QUEENS (ZONE),10/29/2012,    07:00,Coastal Flood,,7,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),10/29/2012,    07:00,Coastal Flood,,5,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),10/29/2012,    07:18,Coastal Flood,,2,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),10/29/2012,    07:18,Coastal Flood,,23,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),10/29/2012,    09:30,Coastal Flood,,0,0,0.00K,0.00K
BRONX (ZONE),10/29/2012,    09:30,Coastal Flood,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),10/29/2012,    13:00,High Wind,70  kts. EG,1,0,1.000M,0.00K
NEW YORK (MANHATTAN) (ZONE),10/29/2012,    14:00,High Wind,54  kts. MG,1,0,1.000M,0.00K
KINGS (BROOKLYN) (ZONE),10/29/2012,    17:00,High Wind,60  kts. EG,2,0,1.000M,0.00K
NORTHERN QUEENS (ZONE),10/29/2012,    17:00,High Wind,69  kts. EG,1,0,1.000M,0.00K
BRONX (ZONE),10/29/2012,    17:00,High Wind,64  kts. MG,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),10/29/2012,    18:00,High Wind,74  kts. EG,3,0,1.000M,0.00K
NORTHERN QUEENS (ZONE),11/07/2012,    14:00,Heavy Snow,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),11/07/2012,    16:00,High Wind,50  kts. EG,0,0,100.00K,0.00K
KINGS (BROOKLYN) (ZONE),12/21/2012,    03:00,High Wind,50  kts. EG,0,0,100.00K,0.00K
NORTHERN QUEENS (ZONE),12/21/2012,    07:00,High Wind,53  kts. MG,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),12/26/2012,    20:00,High Wind,50  kts. EG,0,0,2.00K,0.00K
KINGS (BROOKLYN) (ZONE),12/26/2012,    21:00,High Wind,51  kts. MG,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),12/26/2012,    21:00,High Wind,51  kts. EG,0,0,0.00K,0.00K
BRONX (ZONE),12/26/2012,    22:00,Coastal Flood,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),12/26/2012,    22:00,Coastal Flood,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),12/27/2012,    08:00,Coastal Flood,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),01/31/2013,    00:00,High Wind,56  kts. MG,0,0,20.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/31/2013,    00:00,High Wind,50  kts. EG,0,0,1.00K,0.00K
SOUTHERN QUEENS (ZONE),01/31/2013,    02:00,High Wind,51  kts. MG,0,0,30.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),02/08/2013,    07:10,Winter Storm,,0,0,0.00K,0.00K
BRONX (ZONE),02/08/2013,    14:00,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/08/2013,    14:00,Winter Storm,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/08/2013,    14:00,Winter Storm,,0,0,0.00K,0.00K
SOUTHERN QUEENS (ZONE),02/08/2013,    17:00,Winter Storm,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/08/2013,    17:00,Winter Storm,,0,0,0.00K,0.00K
NORTHERN QUEENS (ZONE),02/27/2013,    11:30,Coastal Flood,,0,0,0.00K,0.00K
